25/05/16,1121,Ad-Hoc,3
26/05/16,2061,Iniciante,1
27/05/16,1125,Ad-Hoc,4
27/05/16,1125,Ad-Hoc,4
30/05/16,1136,Ad-Hoc,3
30/05/16,1129,Ad-Hoc,2
30/05/16,1129,Ad-Hoc,2
01/06/16,1138,Ad-Hoc,5
03/06/16,1140,Ad-Hoc,3
03/06/16,1147,Ad-Hoc,3
03/06/16,1192,Ad-Hoc,2
03/06/16,1171,Ad-Hoc,2
03/06/16,1140,Ad-Hoc,3
03/06/16,1147,Ad-Hoc,3
03/06/16,1196,Ad-Hoc,2
06/06/16,1206,Ad-Hoc,3
06/06/16,1216,Ad-Hoc,1
10/06/16,1022,Estruturas e Bibliotecas,2
12/06/16,1023,Estruturas e Bibliotecas,3
12/06/16,1025,Estruturas e Bibliotecas,2
13/06/16,1228,Ad-Hoc,3
13/06/16,1217,Ad-Hoc,2
13/06/16,1245,Ad-Hoc,2
13/06/16,1228,Ad-Hoc,3
13/06/16,1246,Ad-Hoc,3
13/06/16,1029,Paradigmas,2
13/06/16,1218,Ad-Hoc,2
13/06/16,1028,Matemática,2
14/06/16,1271,Ad-Hoc,4
14/06/16,1285,Ad-Hoc,3
14/06/16,1266,Ad-Hoc,3
14/06/16,1267,Ad-Hoc,2
14/06/16,1250,Ad-Hoc,2
19/06/16,1300,Ad-Hoc,2
19/06/16,1300,Ad-Hoc,2
22/06/16,1318,Ad-Hoc,2
24/06/16,1081,Grafos,3
29/06/16,1317,Grafos,5
29/06/16,1317,Grafos,5
29/06/16,1321,Ad-Hoc,4
30/06/16,1327,Ad-Hoc,3
30/06/16,1327,Ad-Hoc,3
03/07/16,1329,Ad-Hoc,1
04/07/16,1337,Ad-Hoc,4
07/07/16,1339,Ad-Hoc,9
08/07/16,1342,Ad-Hoc,3
09/07/16,1349,Ad-Hoc,7
09/07/16,1361,Ad-Hoc,4
09/07/16,1357,Ad-Hoc,3
09/07/16,1360,Ad-Hoc,4
13/07/16,1363,Ad-Hoc,4
13/07/16,1366,Ad-Hoc,2
13/07/16,2126,Iniciante,1
01/08/16,1104,Ad-Hoc,3
12/08/16,1069,Estruturas e Bibliotecas,2
12/08/16,1063,Estruturas e Bibliotecas,4
12/08/16,1062,Estruturas e Bibliotecas,3
12/08/16,1068,Estruturas e Bibliotecas,2
14/08/16,1110,Estruturas e Bibliotecas,2
15/08/16,1077,Estruturas e Bibliotecas,3
15/08/16,1119,Estruturas e Bibliotecas,3
